uuid,awareness,vote,effect,arguments_for,arguments_against
1782dda0-dcd7-0133-db28-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity,It increases dependence on the state
65d06e10-dd56-0133-a0fc-0a81e8b09a82,I have heard just a little about it,I would vote for it,Work less,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward | It increases dependence on the state
a83b1660-d8ed-0133-3b76-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
b63c3f50-db94-0133-5bf8-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance
bdaf2980-d925-0133-32b6-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
4e4bfa10-d97a-0133-5786-0a81e8b09a82,I know something about it,I would not vote,Do more volunteering work,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
a83dc3f0-da5d-0133-ec83-0a81e8b09a82,I have never heard of it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
60c3e930-da1d-0133-f393-0a81e8b09a82,I know something about it,I would probably vote for it,Stop working,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
0cc3fb10-d970-0133-90ef-0a81e8b09a82,I understand it fully,I would probably vote for it,Look for a different job,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
ff3381c0-d9d1-0133-c927-0a81e8b09a82,I know something about it,I would probably vote against it,Work less,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
e9022a10-daf7-0133-95ff-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state
8f079df0-da5a-0133-3ea6-0a81e8b09a82,I understand it fully,I would vote for it,None of the above,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
deb0e650-dc63-0133-b587-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
0cda45e0-dba8-0133-4f75-0a81e8b09a82,I understand it fully,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
9eb34dd0-d97f-0133-f727-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
cef9b800-da50-0133-375d-0a81e8b09a82,I have heard just a little about it,I would vote against it,None of the above,None of the above,None of the above
0e209f70-ddde-0133-21c0-0a81e8b09a82,I know something about it,I would probably vote against it,Look for a different job,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
fa3198d0-d97f-0133-f8cf-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance
b69dac40-db2e-0133-a676-0a81e8b09a82,I have never heard of it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
ce028e20-d982-0133-7831-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It creates more equality of opportunity,Only the people who need it most should get something from the state
92785430-da3e-0133-cda2-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
f53e19e0-db47-0133-40c9-0a81e8b09a82,I know something about it,I would probably vote against it,Work less,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
b5bdd560-d984-0133-3017-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It might encourage people to stop working
6508d740-da28-0133-7345-0a81e8b09a82,I know something about it,I would probably vote against it,Work as a freelancer,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
c298b0f0-d972-0133-f84c-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
6f4d9920-da1e-0133-f79b-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
3f82a250-d99b-0133-ad98-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
a7d665b0-def0-0133-a8ef-0a81e8b09a82,I understand it fully,I would vote for it,Work less,It creates more equality of opportunity,Only the people who need it most should get something from the state
bc203000-dec9-0133-d136-0a81e8b09a82,I know something about it,I would not vote,None of the above,It reduces bureaucracy and administrative expenses,It is impossible to finance
ecbafdc0-d991-0133-6133-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
d27d24d0-d9b1-0133-03d4-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,None of the above
d5919c10-de4b-0133-0c69-0a81e8b09a82,I understand it fully,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Only the people who need it most should get something from the state
82db08a0-de48-0133-6843-0a81e8b09a82,I have never heard of it,I would vote for it,Look for a different job,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It reduces anxiety about financing basic needs",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
46ba8340-daec-0133-8649-0a81e8b09a82,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state
22ccaa70-da4b-0133-2475-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | It might encourage people to stop working
fdf46e10-dc21-0133-4863-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
502a3370-d98d-0133-f256-0a81e8b09a82,I have heard just a little about it,I would vote for it,Gain additional skills,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
e341a840-d9ac-0133-8752-0a81e8b09a82,I know something about it,I would vote for it,None of the above,It reduces anxiety about financing basic needs,None of the above
ecf7ead0-d8c6-0133-57bd-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working
4d0f5630-daec-0133-865f-0a81e8b09a82,I know something about it,I would probably vote for it,Work less,It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state
971f4200-d9b1-0133-0275-0a81e8b09a82,I know something about it,I would vote against it,Work less,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance
73f6d9a0-de51-0133-1aac-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working
acbcc2a0-dbb1-0133-247b-0a81e8b09a82,I know something about it,I would probably vote against it,Stop working,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
60b32e60-da7a-0133-825f-0a81e8b09a82,I know something about it,I would probably vote for it,Look for a different job,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
e1f8b8f0-d9f9-0133-0813-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
2a883ee0-dc7b-0133-449e-0a81e8b09a82,I know something about it,I would vote against it,Spend more time with my family,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
cdc17310-daee-0133-1009-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | It might encourage people to stop working
de631170-de11-0133-fbc7-0a81e8b09a82,I know something about it,I would vote against it,Work as a freelancer,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
8a9b1a70-da69-0133-048e-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
a3e66d80-dc0b-0133-4626-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working
d06b4d90-da24-0133-f336-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
b65e0ca0-da52-0133-b9c4-0a81e8b09a82,I understand it fully,I would vote against it,Gain additional skills,It creates more equality of opportunity,None of the above
835506b0-d9a5-0133-aa2d-0a81e8b09a82,I know something about it,I would probably vote for it,Stop working,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It increases dependence on the state
a2f44b00-d9a8-0133-0b81-0a81e8b09a82,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,It is impossible to finance
1b9cd700-d9a4-0133-767b-0a81e8b09a82,I understand it fully,I would vote for it,Work less,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Foreigners might come to my country and take advantage of the benefit
50b2ca20-da6d-0133-3391-0a81e8b09a82,I have heard just a little about it,I would vote for it,Work less,It creates more equality of opportunity | It increases appreciation for household work and volunteering,None of the above
6ab50cf0-d99a-0133-1be7-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,It is impossible to finance
bbe24d70-d9a2-0133-fee9-0a81e8b09a82,I know something about it,I would not vote,None of the above,None of the above,None of the above
9b709b60-d9b5-0133-9358-0a81e8b09a82,I understand it fully,I would probably vote against it,Work as a freelancer,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It is impossible to finance
fc3eb360-da4d-0133-7c54-0a81e8b09a82,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
5d24fd50-de62-0133-034f-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It increases dependence on the state
16da07b0-da19-0133-a867-0a81e8b09a82,I understand it fully,I would not vote,None of the above,None of the above,None of the above
aef9b5c0-dd6b-0133-f236-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity,It might encourage people to stop working
1c5a9b20-de3f-0133-6f9e-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
ad926610-d940-0133-c4d9-0a81e8b09a82,I know something about it,I would vote for it,Spend more time with my family,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working
3dc34550-d970-0133-91ba-0a81e8b09a82,I know something about it,I would not vote,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It creates more equality of opportunity,It is impossible to finance
6c31df80-dc5e-0133-abd5-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
55f92ca0-db51-0133-4567-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,It encourages financial independence and self-responsibility,It is impossible to finance
979f0310-dd25-0133-a02b-0a81e8b09a82,I have never heard of it,I would vote for it,Look for a different job,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
e3b65eb0-da17-0133-a417-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It is impossible to finance
dcc01bf0-da5d-0133-64c1-0a81e8b09a82,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
6d839310-d8ea-0133-9c00-0a81e8b09a82,I understand it fully,I would probably vote for it,Gain additional skills,It creates more equality of opportunity,Only the people who need it most should get something from the state
d0605900-d9b1-0133-03c4-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
25da5bc0-dae2-0133-2f28-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
6b35de20-da49-0133-2a3c-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
ae5fbb40-dacb-0133-76fa-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
bf3df5e0-d96d-0133-0322-0a81e8b09a82,I have heard just a little about it,I would not vote,Spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance
fe3a9f90-dd5d-0133-ddce-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Gain additional skills,None of the above,None of the above
fe3d9320-dd7e-0133-bebd-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
73ea3300-de4e-0133-12c7-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
a82fe160-d97f-0133-f752-0a81e8b09a82,I have heard just a little about it,I would vote for it,Stop working,It increases appreciation for household work and volunteering,It might encourage people to stop working
7bd2f470-dbf7-0133-d6c6-0a81e8b09a82,I have never heard of it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state
ee58f8c0-d9c0-0133-ca9d-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance | It might encourage people to stop working
e9b833e0-d983-0133-7cfb-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",It is impossible to finance
9c1ca5e0-dccf-0133-093f-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
fd046610-da32-0133-b674-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
23081830-db42-0133-6a34-0a81e8b09a82,I know something about it,I would vote for it,Do more volunteering work,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
48114f60-db8d-0133-d95c-0a81e8b09a82,I understand it fully,I would probably vote for it,Spend more time with my family,It creates more equality of opportunity,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
18df7d20-d8ce-0133-661f-0a81e8b09a82,I know something about it,I would vote for it,Spend more time with my family,"It increases solidarity, because it is funded by everyone",None of the above
bab38f40-de2c-0133-70d0-0a81e8b09a82,I have heard just a little about it,I would vote for it,Spend more time with my family,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
d18c62c0-dbb2-0133-dd02-0a81e8b09a82,I have never heard of it,I would vote against it,None of the above,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
09823910-d97c-0133-06c9-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
3e18c890-d99e-0133-9645-0a81e8b09a82,I know something about it,I would vote for it,Look for a different job,It creates more equality of opportunity,It might encourage people to stop working
d3fd6c00-d970-0133-9411-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance
7444cca0-d9c9-0133-06ef-0a81e8b09a82,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,None of the above
29fad3e0-da35-0133-8f93-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
47549110-d8f1-0133-1565-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It encourages financial independence and self-responsibility,It is impossible to finance
ca0b47c0-da3c-0133-c374-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,None of the above,None of the above
366e2260-dd66-0133-5f47-0a81e8b09a82,I have heard just a little about it,I would vote against it,None of the above,None of the above,It is impossible to finance
b02e9c10-da5e-0133-6a87-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
cf2186b0-d97f-0133-f7f9-0a81e8b09a82,I understand it fully,I would vote against it,Stop working,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
f0edaad0-d97c-0133-0a72-0a81e8b09a82,I have never heard of it,I would vote for it,Gain additional skills,"It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
f31e0820-d9ab-0133-1dd8-0a81e8b09a82,I know something about it,I would vote against it,Spend more time with my family,None of the above,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
fe2b5c40-deed-0133-244b-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,It increases appreciation for household work and volunteering,None of the above
f4efcf80-deea-0133-1d71-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Spend more time with my family,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state
f297b3c0-db93-0133-5a1c-0a81e8b09a82,I have heard just a little about it,I would vote against it,Gain additional skills,None of the above,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
6eafcf10-da49-0133-2a56-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It encourages financial independence and self-responsibility,None of the above
9de09f40-dc66-0133-baf4-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,It creates more equality of opportunity,It increases dependence on the state
7f8b85b0-da41-0133-e270-0a81e8b09a82,I have never heard of it,I would probably vote against it,None of the above,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward
032f1c00-da24-0133-ef97-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working
2d1a11c0-d9a2-0133-fc0f-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
eb5cc630-da3e-0133-bf7d-0a81e8b09a82,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
3ead02e0-d9b3-0133-1aa2-0a81e8b09a82,I understand it fully,I would probably vote for it,Look for a different job,It creates more equality of opportunity,It increases dependence on the state
d47c5250-d9ce-0133-1410-0a81e8b09a82,I know something about it,I would not vote,None of the above,None of the above,None of the above
98bf1a40-d8ce-0133-67b6-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,It is impossible to finance
8a585870-da4b-0133-2735-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It might encourage people to stop working
a9150040-da2e-0133-85ec-0a81e8b09a82,I have heard just a little about it,I would vote for it,Stop working,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
83c22bc0-def7-0133-aa36-0a81e8b09a82,I have never heard of it,I would vote against it,Look for a different job,None of the above,Only the people who need it most should get something from the state
6efe79e0-d975-0133-38d8-0a81e8b09a82,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state
7f2b1b70-da53-0133-881a-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It encourages financial independence and self-responsibility",None of the above
0255c270-da17-0133-a068-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is impossible to finance
2c750030-db62-0133-03cf-0a81e8b09a82,I understand it fully,I would not vote,Stop working,None of the above,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2b91f2a0-da23-0133-ec71-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Spend more time with my family,"It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
4e43b100-dbad-0133-4e9b-0a81e8b09a82,I have heard just a little about it,I would not vote,Spend more time with my family,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
c771c460-d988-0133-9a2c-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
3de5a400-da29-0133-7707-0a81e8b09a82,I have never heard of it,I would vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
a3c5b850-d972-0133-f7d2-0a81e8b09a82,I have never heard of it,I would not vote,Stop working,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
70e72af0-dcce-0133-02a5-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
0868ef30-da3a-0133-da32-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It reduces anxiety about financing basic needs,It might encourage people to stop working
0bcd9d30-de35-0133-49e1-0a81e8b09a82,I have never heard of it,I would probably vote for it,Look for a different job,It encourages financial independence and self-responsibility | It creates more equality of opportunity,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
8d842aa0-d98a-0133-a1e2-0a81e8b09a82,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Only the people who need it most should get something from the state
6d89b740-db57-0133-f9af-0a81e8b09a82,I know something about it,I would vote for it,None of the above,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
83dc4620-dabe-0133-c080-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,It is impossible to finance
d82fa550-da1a-0133-ade8-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
dea6f270-df81-0133-6fbd-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state
d519ce60-d9a0-0133-a29e-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
8b9865a0-dcfd-0133-4257-0a81e8b09a82,I have heard just a little about it,I would vote for it,None of the above,None of the above,It increases dependence on the state
db6e3c60-da3b-0133-e08e-0a81e8b09a82,I know something about it,I would not vote,A basic income would not affect my work choices,None of the above,None of the above
50047520-dc3f-0133-6872-0a81e8b09a82,I understand it fully,I would probably vote for it,Work less,It creates more equality of opportunity,It is against the principle of linking merit and reward
52d5bbf0-da44-0133-6893-0a81e8b09a82,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
7035b800-d9b5-0133-929b-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Work less,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It might encourage people to stop working
